mbti,enneagram,role,movie,img_url,enn_1,enn_2
ESFP,3w2,Raymond Marble,   Pink Flamingos ,https://www.personality-database.com/profile_images/149416.png?=undefined,3,2
ESFP,4w5,DJ Suki,   Trolls ,https://www.personality-database.com/images/profile_transparent.png,4,5
ESFP,8w7,Dennis,   Attack the Block ,https://www.personality-database.com/images/profile_transparent.png,8,7
ESFP,7w6,Mitch Roussel,   Unfriended ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Stoney Brown,   Encino Man ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Shakes' Father,   Sleepers ,https://www.personality-database.com/profile_images/89388.png?=undefined,7,8
ESFP,2w3,Stanley Stupid,   The Stupids ,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,6w7,Maya Garrison,   Thumbelina: A Magical Story ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,7w8,Daisy,   The Brown Bunny ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,3w4,Chuck Barris,   Confessions of a Dangerous Mind ,https://www.personality-database.com/profile_images/98223.png?=undefined,3,4
ESFP,8w9,Bors,   King Arthur ,https://www.personality-database.com/images/profile_transparent.png,8,9
ESFP,7w6,Galahad ( Hugh Dancy ),   King Arthur ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,2w3,Rafe,   Blood and Chocolate,https://www.personality-database.com/profile_images/120647.png?=undefined,2,3
ESFP,2w3,Dr. Evelyn Harris,   Danika,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,3w2,Bruce Baxter,   King Kong ,https://www.personality-database.com/images/profile_transparent.png,3,2
ESFP,3w2,Mary Jo Gornicke,   RV / Runaway Vacation ,https://www.personality-database.com/images/profile_transparent.png,3,2
